node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
13,-1.00000000000000000e+01,5.34999999999999964e+00,0.00000000000000000e+00,3.02866135606478281e+02,3.02866135606467083e+02,-1.11981535155791789e-11
14,-1.00000000000000000e+01,5.84999999999999876e+00,2.19999999999999973e-01,3.02865010301025620e+02,3.02865010301014706e+02,-1.09139364212751389e-11
15,-1.00000000000000000e+01,5.84999999999999876e+00,0.00000000000000000e+00,3.02859745470889550e+02,3.02859745470878636e+02,-1.09139364212751389e-11
16,1.00000000000000000e+01,5.34999999999999964e+00,2.19999999999999973e-01,3.02868230836735279e+02,3.02868230836952193e+02,2.16914486372843385e-10
17,1.00000000000000000e+01,5.34999999999999964e+00,0.00000000000000000e+00,3.02863731098140818e+02,3.02863731098357277e+02,2.16459739021956921e-10
18,1.00000000000000000e+01,5.84999999999999876e+00,2.19999999999999973e-01,3.02861847617709032e+02,3.02861847617924980e+02,2.15948148252209648e-10
19,1.00000000000000000e+01,5.84999999999999876e+00,0.00000000000000000e+00,3.02857592470020563e+02,3.02857592470236511e+02,2.15948148252209648e-10
20,-1.00000000000000000e+01,-5.84999999999999876e+00,2.19999999999999973e-01,3.02699895751125609e+02,3.02699895750918529e+02,-2.07080574909923598e-10
21,-1.00000000000000000e+01,-5.84999999999999876e+00,0.00000000000000000e+00,3.02695085055950585e+02,3.02695085055743789e+02,-2.06796357815619558e-10
22,-1.00000000000000000e+01,-5.34999999999999964e+00,2.19999999999999973e-01,3.02705860385100266e+02,3.02705860384891935e+02,-2.08331130124861374e-10
23,-1.00000000000000000e+01,-5.34999999999999964e+00,0.00000000000000000e+00,3.02699360210279565e+02,3.02699360210071632e+02,-2.07933226192835718e-10
24,1.00000000000000000e+01,-5.84999999999999876e+00,2.19999999999999973e-01,3.02699873140098362e+02,3.02699873140099839e+02,1.47792889038100839e-12
25,1.00000000000000000e+01,-5.84999999999999876e+00,0.00000000000000000e+00,3.02695572707352483e+02,3.02695572707353961e+02,1.47792889038100839e-12
26,1.00000000000000000e+01,-5.34999999999999964e+00,2.19999999999999973e-01,3.02704860079287187e+02,3.02704860079287812e+02,6.25277607468888164e-13
27,1.00000000000000000e+01,-5.34999999999999964e+00,0.00000000000000000e+00,3.02701184811532471e+02,3.02701184811532926e+02,4.54747350886464119e-13
28,6.00000000000000000e+00,-1.46957615897682395e-15,2.35999999999999988e+00,3.15829598528774170e+02,3.15829598526657492e+02,-2.11667838811990805e-09
29,6.00000000000000000e+00,-1.46957615897682395e-15,2.21999999999999975e+00,3.15835383329578235e+02,3.15835383327411421e+02,-2.16681428355514072e-09
30,5.00000000000001665e-01,-5.97913037155069826e+00,2.21999999999999975e+00,3.13033624169420705e+02,3.13033624169568384e+02,1.47679202200379223e-10
31,5.00000000000001665e-01,-5.97913037155069826e+00,2.35999999999999988e+00,3.13141779493618230e+02,3.13141779493771878e+02,1.53647761180764064e-10
32,-5.00000000000003775e-01,-5.97913037155069826e+00,2.35999999999999988e+00,3.13259829940255713e+02,3.13259829940214559e+02,-4.11546352552250028e-11
